ID,Product,Format,Info,2022-09-07,2022-09-16,2022-11-06,2022-11-15,2022-11-25,2022-11-28,2022-12-05,2022-12-12,2022-12-20,2022-12-26,2023-01-02,2023-01-09,2023-01-16,2023-01-23,2023-01-31,2023-02-06,2023-02-13,2023-02-20,2023-02-28,2023-03-06,2023-03-13,2023-03-21,2023-03-27,2023-04-04,2023-04-15,2023-04-18,2023-04-24,2023-05-01,2023-05-08,2023-05-15,2023-05-22,2023-05-29,2023-06-05,2023-06-12,2023-06-27,2023-07-03,2023-07-11,2023-07-17,2023-07-24,2023-07-31,2023-08-08,2023-08-29,2023-09-05,2023-09-11,2023-09-14,2023-09-26,2023-10-02,2023-10-11,2023-10-16,2023-10-24,2023-10-30
4717,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,Olive oil,0.4622,0.4234,0.49,0.54,0.54,0.54,0.54,0.54,0.54,0.585,0.5584,0.5584,0.5584,0.5584,0.5584,0.5584,0.5584,0.5584,0.5584,0.5584,,0.5584,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6367,0.6367,0.6367,0.6367,0.6367,0.6367,0.6367,,0.6734,0.6734,0.6734,0.8334,0.8334,0.8334,0.8334,0.8334,0.8334,0.8334,0.92,0.92,0.92,0.92
5002,Arroz basmati aromático Hacendado,Paquete 1 kg,"Rice, cooked, NFS",0.22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.275,0.275,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.254,0.254,,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254,0.254
6594,Penne integral Hacendado,Paquete 500 g,"Pasta, whole grain, cooked",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,0.19
6595,Spaghetti integral Hacendado,Paquete 500 g,"Pasta, whole grain, cooked",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,,,,,,,,,,,,,,,,,,,,,,,0.19
7329,Soja texturizada grano fino Hacendado,Paquete 250 g,"Textured vegetable protein, dry",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,,0.74,0.74,0.74,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
9430,Quinoa Hacendado,Paquete 500 g,"Quinoa, no added fat",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,,0.48,0.48,0.48,0.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13865,Alcachofa troceada Hacendado ultracongelada,,"Artichoke, frozen, cooked, no added fat",0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.475,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.4575,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
16044,Tomate triturado Hacendado para freír,Bote 400 g,"Tomatoes, raw",0.125,0.125,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.175,0.1375,0.1375,0.1375
16883,Crema de cacahuete 100% Hacendado,Tarro 500g,Peanut butter,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
17360,Salsa de soja Hacendado,Botella 250 ml,Soy sauce,0.4779,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
